"","LMAHDY"
"1992-09-04",1274
"1992-09-07",1273.5
"1992-09-08",1276
"1992-09-09",1272.5
"1992-09-10",1270
"1992-09-11",1270.5
"1992-09-14",1270
"1992-09-15",1275.5
"1992-09-16",1266
"1992-09-17",1257
"1992-09-18",1241.5
"1992-09-21",1271
"1992-09-22",1264.5
"1992-09-23",1257.5
"1992-09-24",1268.5
"1992-09-25",1270
"1992-09-28",1263
"1992-09-29",1259.5
"1992-09-30",1269.93
"1992-10-01",1240
"1992-10-02",1218.5
"1992-10-05",1197
"1992-10-06",1193.5
"1992-10-07",1195.5
"1992-10-08",1189
"1992-10-09",1189.5
"1992-10-12",1169.5
"1992-10-13",1163
"1992-10-14",1172
"1992-10-15",1174
"1992-10-16",1162.5
"1992-10-19",1151.5
"1992-10-20",1150.5
"1992-10-21",1166.5
"1992-10-22",1177
"1992-10-23",1165.5
"1992-10-26",1163
"1992-10-27",1158.5
"1992-10-28",1144
"1992-10-29",1149
"1992-10-30",1174.09
"1992-11-02",1145
"1992-11-03",1141
"1992-11-04",1146.5
"1992-11-05",1143.5
"1992-11-06",1138.5
"1992-11-09",1137.5
"1992-11-10",1141
"1992-11-11",1158
"1992-11-12",1160.5
"1992-11-13",1145
"1992-11-16",1147
"1992-11-17",1146
"1992-11-18",1161.5
"1992-11-19",1156.5
"1992-11-20",1163
"1992-11-23",1161.5
"1992-11-24",1187.5
"1992-11-25",1176
"1992-11-26",1190.5
"1992-11-27",1194.5
"1992-11-30",1159.36
"1992-12-01",1195
"1992-12-02",1200
"1992-12-03",1184.5
"1992-12-04",1179
"1992-12-07",1176
"1992-12-08",1183
"1992-12-09",1183.5
"1992-12-10",1193
"1992-12-11",1194.5
"1992-12-14",1196.5
"1992-12-15",1200
"1992-12-16",1209
"1992-12-17",1218.5
"1992-12-18",1219
"1992-12-21",1225.5
"1992-12-22",1231.5
"1992-12-23",1227.5
"1992-12-24",1230.5
"1992-12-29",1233.5
"1992-12-30",1239
"1992-12-31",1207.4
"1993-01-04",1230.5
"1993-01-05",1236
"1993-01-06",1208.5
"1993-01-07",1200.5
"1993-01-08",1190.5
"1993-01-11",1205
"1993-01-12",1224
"1993-01-13",1220.5
"1993-01-14",1223.5
"1993-01-15",1212.5
"1993-01-18",1205.5
"1993-01-19",1209
"1993-01-20",1204.5
"1993-01-21",1198.5
"1993-01-22",1192.5
"1993-01-25",1190.5
"1993-01-26",1188
"1993-01-27",1193.5
"1993-01-28",1204.5
"1993-01-29",1207.1
"1993-02-01",1194
"1993-02-02",1192.5
"1993-02-03",1188.5
"1993-02-04",1199.5
"1993-02-05",1203
"1993-02-08",1219
"1993-02-09",1213
"1993-02-10",1219
"1993-02-11",1215
"1993-02-12",1212.5
"1993-02-15",1198
"1993-02-16",1197.5
"1993-02-17",1198.5
"1993-02-18",1205
"1993-02-19",1207.5
"1993-02-22",1204
"1993-02-23",1197.5
"1993-02-24",1196.5
"1993-02-25",1194.5
"1993-02-26",1202.18
"1993-03-01",1185.5
"1993-03-02",1164.5
"1993-03-03",1161.5
"1993-03-04",1165.5
"1993-03-05",1161.5
"1993-03-08",1156
"1993-03-09",1159
"1993-03-10",1147.5
"1993-03-11",1148.5
"1993-03-12",1155
"1993-03-15",1147
"1993-03-16",1142
"1993-03-17",1143
"1993-03-18",1146.5
"1993-03-19",1148
"1993-03-22",1167.5
"1993-03-23",1153.5
"1993-03-24",1151
"1993-03-25",1147.5
"1993-03-26",1142
"1993-03-29",1141
"1993-03-30",1129.5
"1993-03-31",1126
"1993-04-01",1126.5
"1993-04-02",1128
"1993-04-05",1120
"1993-04-06",1105.5
"1993-04-07",1104
"1993-04-08",1113.5
"1993-04-13",1117.5
"1993-04-14",1126
"1993-04-15",1112
"1993-04-16",1110.5
"1993-04-19",1099.5
"1993-04-20",1093
"1993-04-21",1105
"1993-04-22",1088.5
"1993-04-23",1089.5
"1993-04-26",1103
"1993-04-27",1110
"1993-04-28",1112.5
"1993-04-29",1101
"1993-04-30",1108.8
"1993-05-04",1124
"1993-05-05",1138
"1993-05-06",1135
"1993-05-07",1118
"1993-05-10",1127.5
"1993-05-11",1129
"1993-05-12",1128
"1993-05-13",1136.5
"1993-05-14",1127
"1993-05-17",1117.5
"1993-05-18",1122
"1993-05-19",1120
"1993-05-20",1118.5
"1993-05-21",1120
"1993-05-24",1113
"1993-05-25",1117
"1993-05-26",1125
"1993-05-27",1124
"1993-05-28",1124.26
"1993-06-01",1121.5
"1993-06-02",1124
"1993-06-03",1131
"1993-06-04",1141
"1993-06-07",1155.5
"1993-06-08",1157.5
"1993-06-09",1161
"1993-06-10",1165.5
"1993-06-11",1154
"1993-06-14",1148.5
"1993-06-15",1154.5
"1993-06-16",1157
"1993-06-17",1156.5
"1993-06-18",1160.5
"1993-06-21",1182.5
"1993-06-22",1179
"1993-06-23",1167
"1993-06-24",1186
"1993-06-25",1198.5
"1993-06-28",1212
"1993-06-29",1210
"1993-06-30",1221
"1993-07-01",1229.5
"1993-07-02",1244
"1993-07-05",1231
"1993-07-06",1231.5
"1993-07-07",1220.5
"1993-07-08",1216
"1993-07-09",1223
"1993-07-12",1204.5
"1993-07-13",1178
"1993-07-14",1178
"1993-07-15",1199.5
"1993-07-16",1185
"1993-07-19",1181.5
"1993-07-20",1170.5
"1993-07-21",1191
"1993-07-22",1194
"1993-07-23",1206.5
"1993-07-26",1190
"1993-07-27",1193
"1993-07-28",1196
"1993-07-29",1199
"1993-07-30",1193
"1993-08-02",1198
"1993-08-03",1214
"1993-08-04",1215.5
"1993-08-05",1208.5
"1993-08-06",1209.5
"1993-08-09",1195.5
"1993-08-10",1185
"1993-08-11",1181.5
"1993-08-12",1173.5
"1993-08-13",1176
"1993-08-16",1172.5
"1993-08-17",1164.5
"1993-08-18",1149
"1993-08-19",1150
"1993-08-20",1155.5
"1993-08-23",1147.5
"1993-08-24",1147.5
"1993-08-25",1145
"1993-08-26",1140.5
"1993-08-27",1146.5
"1993-08-31",1146.5
"1993-09-01",1142
"1993-09-02",1146
"1993-09-03",1141.5
"1993-09-06",1142
"1993-09-07",1144
"1993-09-08",1135.5
"1993-09-09",1124.5
"1993-09-10",1116
"1993-09-13",1116
"1993-09-14",1105.5
"1993-09-15",1109.5
"1993-09-16",1115
"1993-09-17",1116
"1993-09-20",1114
"1993-09-21",1099.5
"1993-09-22",1102
"1993-09-23",1098
"1993-09-24",1097
"1993-09-27",1097.5
"1993-09-28",1099
"1993-09-29",1091.5
"1993-09-30",1115.73
"1993-10-01",1099
"1993-10-04",1096.5
"1993-10-05",1092
"1993-10-06",1093
"1993-10-07",1091.5
"1993-10-08",1090.5
"1993-10-11",1095.5
"1993-10-12",1092
"1993-10-13",1093
"1993-10-15",1113.5
"1993-10-18",1102
"1993-10-19",1092
"1993-10-20",1091
"1993-10-21",1101
"1993-10-22",1095.5
"1993-10-25",1092
"1993-10-26",1056.5
"1993-10-27",1048.5
"1993-10-28",1048.5
"1993-10-29",1049
"1993-11-01",1019
"1993-11-02",1032
"1993-11-03",1028.5
"1993-11-04",1028
"1993-11-05",1050
"1993-11-08",1042
"1993-11-09",1032.5
"1993-11-10",1037
"1993-11-11",1050
"1993-11-12",1053
"1993-11-15",1050.5
"1993-11-16",1032
"1993-11-17",1038.5
"1993-11-18",1040
"1993-11-19",1042.5
"1993-11-22",1053.5
"1993-11-23",1058
"1993-11-24",1039.5
"1993-11-25",1040.5
"1993-11-26",1035
"1993-11-29",1036.5
"1993-11-30",1045
"1993-12-01",1053.5
"1993-12-03",1055
"1993-12-07",1080
"1993-12-08",1086
"1993-12-09",1100
"1993-12-10",1115
"1993-12-13",1140
"1993-12-14",1124
"1993-12-15",1094
"1993-12-16",1082.5
"1993-12-17",1086
"1993-12-20",1099
"1993-12-21",1103.5
"1993-12-22",1100
"1993-12-23",1105.5
"1993-12-24",1104
"1993-12-29",1115
"1993-12-30",1121.5
"1993-12-31",1108.5
"1994-01-04",1111
"1994-01-05",1121
"1994-01-06",1135
"1994-01-07",1132.5
"1994-01-10",1150.5
"1994-01-11",1148.5
"1994-01-12",1153.5
"1994-01-13",1148.5
"1994-01-14",1189.5
"1994-01-17",1200.5
"1994-01-18",1196
"1994-01-19",1191.5
"1994-01-20",1183
"1994-01-21",1185.5
"1994-01-24",1180.5
"1994-01-25",1186
"1994-01-26",1204.5
"1994-01-27",1235
"1994-01-28",1227.5
"1994-01-31",1218
"1994-02-01",1248
"1994-02-02",1248.5
"1994-02-03",1272.5
"1994-02-04",1289
"1994-02-07",1277
"1994-02-08",1283.5
"1994-02-09",1263.5
"1994-02-10",1258
"1994-02-11",1246
"1994-02-14",1229.5
"1994-02-15",1215.5
"1994-02-16",1267
"1994-02-17",1285.5
"1994-02-18",1293
"1994-02-21",1292.5
"1994-02-22",1291.5
"1994-02-23",1270.5
"1994-02-24",1282
"1994-02-25",1300.5
"1994-02-28",1292.5
"1994-03-01",1283.5
"1994-03-02",1259.5
"1994-03-03",1256.5
"1994-03-04",1276.5
"1994-03-07",1277
"1994-03-08",1261.5
"1994-03-09",1258
"1994-03-10",1262
"1994-03-11",1274
"1994-03-14",1274
"1994-03-15",1263.5
"1994-03-16",1291.5
"1994-03-17",1313.5
"1994-03-18",1325
"1994-03-21",1315.5
"1994-03-22",1314.5
"1994-03-23",1316.5
"1994-03-24",1295
"1994-03-25",1304
"1994-03-28",1311
"1994-03-29",1320.5
"1994-03-30",1309
"1994-03-31",1293
"1994-04-05",1285.5
"1994-04-06",1287
"1994-04-07",1272
"1994-04-08",1302
"1994-04-11",1306
"1994-04-12",1301
"1994-04-13",1292
"1994-04-14",1290.5
"1994-04-15",1288
"1994-04-18",1275.5
"1994-04-19",1265.5
"1994-04-20",1264
"1994-04-21",1257
"1994-04-22",1258
"1994-04-25",1267
"1994-04-26",1257
"1994-04-27",1266.5
"1994-04-28",1283
"1994-04-29",1285
"1994-05-03",1294.5
"1994-05-04",1307.5
"1994-05-05",1300
"1994-05-06",1313
"1994-05-09",1301
"1994-05-10",1310
"1994-05-11",1305.5
"1994-05-12",1301
"1994-05-13",1308
"1994-05-16",1327.5
"1994-05-17",1339
"1994-05-18",1341
"1994-05-19",1357.5
"1994-05-20",1338
"1994-05-23",1338.5
"1994-05-24",1350
"1994-05-25",1339
"1994-05-26",1323.5
"1994-05-27",1330
"1994-05-31",1334
"1994-06-01",1336
"1994-06-02",1314
"1994-06-03",1323
"1994-06-06",1340
"1994-06-07",1340
"1994-06-08",1347.5
"1994-06-09",1353.5
"1994-06-10",1372
"1994-06-13",1404
"1994-06-14",1402
"1994-06-15",1402
"1994-06-16",1417.5
"1994-06-17",1445
"1994-06-20",1442
"1994-06-21",1435.5
"1994-06-22",1433.5
"1994-06-23",1461
"1994-06-24",1471
"1994-06-27",1455
"1994-06-28",1430
"1994-06-29",1435
"1994-06-30",1461
"1994-07-01",1473
"1994-07-04",1499
"1994-07-05",1505
"1994-07-06",1486
"1994-07-07",1484.5
"1994-07-08",1512
"1994-07-11",1530
"1994-07-12",1523
"1994-07-13",1519
"1994-07-14",1520.5
"1994-07-15",1535
"1994-07-18",1513.5
"1994-07-19",1492
"1994-07-20",1513
"1994-07-21",1508.5
"1994-07-22",1490
"1994-07-25",1479.5
"1994-07-26",1485.5
"1994-07-27",1412
"1994-07-28",1423
"1994-07-29",1446
"1994-08-01",1456
"1994-08-02",1431
"1994-08-03",1442.5
"1994-08-04",1430
"1994-08-05",1423
"1994-08-08",1424
"1994-08-09",1437
"1994-08-10",1438.5
"1994-08-11",1443
"1994-08-12",1471
"1994-08-15",1454
"1994-08-16",1443.5
"1994-08-17",1447.5
"1994-08-18",1457.5
"1994-08-19",1461
"1994-08-22",1460
"1994-08-23",1461
"1994-08-24",1481
"1994-08-25",1490
"1994-08-26",1480
"1994-08-30",1494.5
"1994-08-31",1503.5
"1994-09-01",1511
"1994-09-02",1534
"1994-09-05",1529
"1994-09-06",1538
"1994-09-07",1532.5
"1994-09-08",1552
"1994-09-09",1567
"1994-09-12",1566
"1994-09-13",1566.5
"1994-09-14",1565
"1994-09-15",1561
"1994-09-16",1566
"1994-09-19",1583
"1994-09-20",1583
"1994-09-21",1598
"1994-09-22",1599
"1994-09-23",1611.5
"1994-09-26",1587
"1994-09-27",1578
"1994-09-28",1602
"1994-09-29",1603
"1994-09-30",1598.5
"1994-10-03",1590.5
"1994-10-04",1609
"1994-10-05",1630
"1994-10-06",1631.5
"1994-10-07",1630
"1994-10-10",1631
"1994-10-11",1620.5
"1994-10-12",1630.5
"1994-10-13",1652.5
"1994-10-14",1682
"1994-10-17",1699
"1994-10-18",1717.5
"1994-10-19",1730
"1994-10-20",1754
"1994-10-21",1749
"1994-10-24",1723.5
"1994-10-25",1724
"1994-10-26",1805
"1994-10-27",1826
"1994-10-28",1830
"1994-10-31",1802
"1994-11-01",1834
"1994-11-02",1859
"1994-11-03",1876
"1994-11-04",1850
"1994-11-07",1845
"1994-11-08",1831.5
"1994-11-09",1873
"1994-11-10",1845
"1994-11-11",1848
"1994-11-14",1848
"1994-11-15",1873
"1994-11-16",1916
"1994-11-17",1924.5
"1994-11-18",1968
"1994-11-21",1992
"1994-11-22",2001.5
"1994-11-23",1951
"1994-11-24",1956
"1994-11-25",1883
"1994-11-28",1890.5
"1994-11-29",1853
"1994-11-30",1929
"1994-12-01",1906
"1994-12-02",1928
"1994-12-05",1914
"1994-12-06",1848
"1994-12-07",1851.5
"1994-12-08",1845
"1994-12-09",1862.5
"1994-12-12",1829
"1994-12-13",1817.5
"1994-12-14",1815
"1994-12-15",1855.5
"1994-12-16",1903.5
"1994-12-19",1845
"1994-12-20",1858
"1994-12-21",1859
"1994-12-22",1894
"1994-12-23",1916
"1994-12-28",1920.5
"1994-12-29",1955
"1995-01-03",1977
"1995-01-04",1976
"1995-01-05",1997
"1995-01-06",2022
"1995-01-09",2018.5
"1995-01-10",2036
"1995-01-11",2005.5
"1995-01-12",2010
"1995-01-13",2044
"1995-01-16",2038
"1995-01-17",2046.5
"1995-01-18",2080.5
"1995-01-19",2111.5
"1995-01-20",2106.5
"1995-01-23",2123
"1995-01-24",2143
"1995-01-25",2146.5
"1995-01-26",2123.5
"1995-01-27",2110
"1995-01-30",2054.5
"1995-01-31",2114
"1995-02-01",2083
"1995-02-02",2096
"1995-02-03",2100
"1995-02-06",2016
"1995-02-07",2017.5
"1995-02-08",1857
"1995-02-09",1919
"1995-02-10",1913
"1995-02-13",1888
"1995-02-14",1814
"1995-02-15",1870
"1995-02-16",1873
"1995-02-17",1871
"1995-02-20",1900.5
"1995-02-21",1918
"1995-02-22",1879.5
"1995-02-23",1844.5
"1995-02-24",1852.5
"1995-02-27",1830
"1995-02-28",1788
"1995-03-01",1741
"1995-03-02",1762
"1995-03-03",1876
"1995-03-06",1870
"1995-03-07",1815
"1995-03-08",1809.5
"1995-03-09",1840
"1995-03-10",1807
"1995-03-13",1813.5
"1995-03-14",1827.5
"1995-03-15",1794
"1995-03-16",1766
"1995-03-17",1755
"1995-03-20",1726.5
"1995-03-21",1751
"1995-03-22",1772.5
"1995-03-23",1818
"1995-03-24",1827
"1995-03-27",1830.5
"1995-03-28",1842
"1995-03-29",1794
"1995-03-30",1817
"1995-03-31",1872
"1995-04-03",1862
"1995-04-04",1896
"1995-04-05",1883.5
"1995-04-06",1855.5
"1995-04-07",1860
"1995-04-10",1847
"1995-04-11",1851
"1995-04-12",1835
"1995-04-13",1825.5
"1995-04-18",1853
"1995-04-19",1834
"1995-04-20",1822
"1995-04-21",1874
"1995-04-24",1886
"1995-04-25",1841
"1995-04-26",1797
"1995-04-27",1840
"1995-04-28",1858
"1995-05-01",1780
"1995-05-02",1757
"1995-05-03",1780
"1995-05-04",1817.5
"1995-05-05",1737
"1995-05-09",1760
"1995-05-10",1729
"1995-05-11",1707
"1995-05-12",1731.5
"1995-05-15",1716
"1995-05-16",1732.5
"1995-05-17",1737
"1995-05-18",1729
"1995-05-19",1725.5
"1995-05-22",1746
"1995-05-23",1791.5
"1995-05-24",1812
"1995-05-25",1824
"1995-05-26",1798
"1995-05-30",1809
"1995-05-31",1808
"1995-06-01",1828.5
"1995-06-02",1821.5
"1995-06-05",1797
"1995-06-06",1756
"1995-06-07",1755.5
"1995-06-08",1768
"1995-06-09",1774.5
"1995-06-12",1762
"1995-06-13",1749.5
"1995-06-14",1735.5
"1995-06-15",1755.5
"1995-06-16",1782
"1995-06-19",1751
"1995-06-20",1770
"1995-06-21",1800.5
"1995-06-22",1811
"1995-06-23",1816
"1995-06-26",1799.5
"1995-06-27",1782
"1995-06-28",1779
"1995-06-29",1773
"1995-06-30",1802
"1995-07-03",1794
"1995-07-04",1800
"1995-07-05",1794
"1995-07-06",1778
"1995-07-07",1795
"1995-07-10",1791
"1995-07-11",1819.5
"1995-07-12",1867.5
"1995-07-13",1887
"1995-07-14",1878
"1995-07-17",1939
"1995-07-18",1924.5
"1995-07-19",1889
"1995-07-20",1893
"1995-07-21",1902
"1995-07-24",1902.5
"1995-07-25",1893
"1995-07-26",1880
"1995-07-27",1892
"1995-07-28",1880
"1995-07-31",1871
"1995-08-01",1853
"1995-08-02",1838
"1995-08-03",1917.5
"1995-08-04",1927.5
"1995-08-07",1922
"1995-08-08",1895.5
"1995-08-09",1899
"1995-08-10",1887
"1995-08-11",1892.5
"1995-08-14",1886
"1995-08-15",1899
"1995-08-16",1919
"1995-08-17",1920
"1995-08-18",1914
"1995-08-21",1906
"1995-08-22",1892.5
"1995-08-23",1874
"1995-08-24",1899
"1995-08-25",1894.5
"1995-08-29",1872.5
"1995-08-30",1843
"1995-08-31",1799.5
"1995-09-01",1784
"1995-09-04",1759
"1995-09-05",1734.5
"1995-09-06",1786
"1995-09-07",1785
"1995-09-08",1763
"1995-09-11",1749.5
"1995-09-12",1777
"1995-09-13",1761
"1995-09-14",1727
"1995-09-15",1734
"1995-09-18",1748
"1995-09-19",1741
"1995-09-20",1760.5
"1995-09-21",1786
"1995-09-22",1782.5
"1995-09-25",1762
"1995-09-26",1786
"1995-09-27",1769
"1995-09-28",1735
"1995-09-29",1761.29
"1995-10-02",1758.5
"1995-10-03",1735
"1995-10-04",1744
"1995-10-05",1747
"1995-10-06",1763.5
"1995-10-09",1741
"1995-10-10",1696.5
"1995-10-11",1646
"1995-10-12",1654
"1995-10-13",1674
"1995-10-16",1655.5
"1995-10-17",1645
"1995-10-18",1630
"1995-10-19",1626
"1995-10-20",1655
"1995-10-23",1627.5
"1995-10-24",1637.5
"1995-10-25",1640
"1995-10-26",1656.5
"1995-10-27",1639
"1995-10-30",1629
"1995-10-31",1674.75
"1995-11-01",1660
"1995-11-02",1690.5
"1995-11-03",1671
"1995-11-06",1686
"1995-11-07",1673
"1995-11-08",1644.5
"1995-11-09",1650.5
"1995-11-10",1647.5
"1995-11-13",1645
"1995-11-14",1629
"1995-11-15",1624
"1995-11-16",1630
"1995-11-17",1643
"1995-11-20",1636.5
"1995-11-21",1644
"1995-11-22",1649
"1995-11-23",1673
"1995-11-24",1682.5
"1995-11-27",1677.5
"1995-11-28",1652
"1995-11-29",1645
"1995-11-30",1648.5
"1995-12-01",1653
"1995-12-04",1651.5
"1995-12-05",1637.5
"1995-12-06",1630
"1995-12-07",1635.5
"1995-12-08",1640
"1995-12-11",1645.5
"1995-12-12",1648
"1995-12-13",1647.5
"1995-12-14",1685.5
"1995-12-15",1685.5
"1995-12-18",1648
"1995-12-19",1655
"1995-12-20",1656
"1995-12-21",1669.5
"1995-12-22",1669
"1995-12-27",1675
"1995-12-28",1678
"1995-12-29",1657.11
"1996-01-02",1674.5
"1996-01-03",1670
"1996-01-04",1648
"1996-01-05",1624
"1996-01-08",1630
"1996-01-09",1618
"1996-01-10",1608
"1996-01-11",1629
"1996-01-12",1620
"1996-01-15",1600
"1996-01-16",1586
"1996-01-17",1611
"1996-01-18",1575
"1996-01-19",1557
"1996-01-22",1532
"1996-01-23",1534
"1996-01-24",1534.5
"1996-01-25",1546.5
"1996-01-26",1531.5
"1996-01-29",1533
"1996-01-30",1542
"1996-01-31",1589.8
"1996-02-01",1574.5
"1996-02-02",1581
"1996-02-05",1584
"1996-02-06",1582.5
"1996-02-07",1593
"1996-02-08",1600
"1996-02-09",1603.5
"1996-02-12",1621
"1996-02-13",1610
"1996-02-14",1598
"1996-02-15",1612.5
"1996-02-16",1610
"1996-02-19",1602
"1996-02-20",1591
"1996-02-21",1590
"1996-02-22",1599.5
"1996-02-23",1578.5
"1996-02-26",1577
"1996-02-27",1572
"1996-02-28",1580
"1996-02-29",1591.95
"1996-03-01",1589
"1996-03-04",1597
"1996-03-05",1594
"1996-03-06",1587.5
"1996-03-07",1578.5
"1996-03-08",1591.5
"1996-03-11",1598.5
"1996-03-12",1593.5
"1996-03-13",1617.5
"1996-03-14",1613
"1996-03-15",1610.5
"1996-03-18",1600
"1996-03-19",1600
"1996-03-20",1611.5
"1996-03-21",1637
"1996-03-22",1652
"1996-03-25",1636.5
"1996-03-26",1642
"1996-03-27",1647.5
"1996-03-28",1638.5
"1996-03-29",1635
"1996-04-01",1634
"1996-04-02",1622
"1996-04-03",1596
"1996-04-04",1606
"1996-04-09",1604.5
"1996-04-10",1594.5
"1996-04-11",1592
"1996-04-12",1594
"1996-04-15",1578
"1996-04-16",1560
"1996-04-17",1572.5
"1996-04-18",1575
"1996-04-19",1559
"1996-04-22",1559
"1996-04-23",1576.5
"1996-04-24",1568.5
"1996-04-25",1579.5
"1996-04-26",1581
"1996-04-29",1595
"1996-04-30",1605
"1996-05-01",1596
"1996-05-02",1606.5
"1996-05-03",1627.5
"1996-05-07",1623
"1996-05-08",1634.5
"1996-05-09",1639.5
"1996-05-10",1639
"1996-05-13",1628
"1996-05-14",1630
"1996-05-15",1600
"1996-05-16",1603
"1996-05-17",1593.5
"1996-05-20",1520
"1996-05-21",1550
"1996-05-22",1539.5
"1996-05-23",1567.5
"1996-05-24",1560
"1996-05-28",1548
"1996-05-29",1549
"1996-05-30",1570.5
"1996-05-31",1589.69
"1996-06-03",1547.5
"1996-06-04",1525.5
"1996-06-05",1510
"1996-06-06",1481
"1996-06-07",1504.5
"1996-06-10",1498
"1996-06-11",1492
"1996-06-12",1456
"1996-06-13",1473
"1996-06-14",1481.5
"1996-06-17",1455
"1996-06-18",1450.5
"1996-06-19",1483
"1996-06-20",1477
"1996-06-21",1467.5
"1996-06-24",1466.5
"1996-06-25",1478
"1996-06-26",1469.5
"1996-06-27",1470.5
"1996-06-28",1482.88
"1996-07-01",1459
"1996-07-02",1454
"1996-07-03",1471
"1996-07-04",1477
"1996-07-05",1476
"1996-07-08",1468
"1996-07-09",1464
"1996-07-10",1461
"1996-07-11",1450
"1996-07-12",1432
"1996-07-15",1420
"1996-07-16",1425.5
"1996-07-17",1434
"1996-07-18",1442.5
"1996-07-19",1452
"1996-07-22",1446
"1996-07-23",1462
"1996-07-24",1463.5
"1996-07-25",1471
"1996-07-26",1465.5
"1996-07-29",1479.5
"1996-07-30",1486
"1996-07-31",1459.11
"1996-08-01",1485.5
"1996-08-02",1481
"1996-08-05",1467
"1996-08-06",1466.5
"1996-08-07",1473.5
"1996-08-08",1485.5
"1996-08-09",1477
"1996-08-12",1471.5
"1996-08-13",1468
"1996-08-14",1479
"1996-08-15",1471
"1996-08-16",1462
"1996-08-19",1451
"1996-08-20",1447.5
"1996-08-21",1452
"1996-08-22",1452.5
"1996-08-23",1449
"1996-08-27",1441
"1996-08-28",1446.5
"1996-08-29",1447.5
"1996-08-30",1463.74
"1996-09-02",1480.5
"1996-09-03",1473.5
"1996-09-04",1471
"1996-09-05",1474
"1996-09-06",1452.5
"1996-09-09",1449.5
"1996-09-10",1427
"1996-09-11",1409.5
"1996-09-12",1400
"1996-09-13",1404.5
"1996-09-16",1393
"1996-09-17",1376
"1996-09-18",1392
"1996-09-19",1389.5
"1996-09-20",1377.5
"1996-09-23",1368
"1996-09-24",1355.5
"1996-09-25",1365
"1996-09-26",1366
"1996-09-27",1382.5
"1996-09-30",1407.71
"1996-10-01",1322.5
"1996-10-02",1338
"1996-10-03",1310
"1996-10-04",1323
"1996-10-07",1320
"1996-10-08",1304.5
"1996-10-09",1308.5
"1996-10-10",1286
"1996-10-11",1296
"1996-10-14",1295
"1996-10-15",1322
"1996-10-16",1307.5
"1996-10-17",1318
"1996-10-18",1332
"1996-10-21",1322.5
"1996-10-22",1323
"1996-10-23",1364.5
"1996-10-24",1381.5
"1996-10-25",1396
"1996-10-28",1399
"1996-10-29",1372.5
"1996-10-30",1387.5
"1996-10-31",1336.7
"1996-11-01",1390.5
"1996-11-04",1394
"1996-11-05",1403
"1996-11-06",1408
"1996-11-07",1440
"1996-11-08",1442
"1996-11-11",1417.5
"1996-11-12",1435
"1996-11-13",1426
"1996-11-14",1407
"1996-11-15",1420
"1996-11-18",1413
"1996-11-19",1413
"1996-11-20",1487
"1996-11-21",1499
"1996-11-22",1507.5
"1996-11-25",1485
"1996-11-26",1500
"1996-11-27",1510
"1996-11-28",1536
"1996-11-29",1449.9
"1996-12-02",1494
"1996-12-03",1489.5
"1996-12-04",1504.5
"1996-12-05",1503
"1996-12-06",1488.5
"1996-12-09",1484.5
"1996-12-10",1478.5
"1996-12-11",1484.5
"1996-12-12",1492
"1996-12-13",1504
"1996-12-16",1476
"1996-12-17",1489
"1996-12-18",1499.5
"1996-12-19",1514.5
"1996-12-20",1507.5
"1996-12-23",1527
"1996-12-24",1523.5
"1996-12-27",1525
"1996-12-30",1512
"1996-12-31",1500.63
"1997-01-02",1507.5
"1997-01-03",1525
"1997-01-06",1518
"1997-01-07",1524
"1997-01-08",1546
"1997-01-09",1566
"1997-01-10",1563
"1997-01-13",1576
"1997-01-14",1590.5
"1997-01-15",1571
"1997-01-16",1588
"1997-01-17",1583.5
"1997-01-20",1581
"1997-01-21",1608
"1997-01-22",1605
"1997-01-23",1603
"1997-01-24",1618
"1997-01-27",1620
"1997-01-28",1606
"1997-01-29",1588
"1997-01-30",1594
"1997-01-31",1576.05
"1997-02-03",1605
"1997-02-04",1594
"1997-02-05",1594.5
"1997-02-06",1599.5
"1997-02-07",1592
"1997-02-10",1556.5
"1997-02-11",1542
"1997-02-12",1520
"1997-02-13",1533
"1997-02-14",1533.5
"1997-02-17",1534
"1997-02-18",1548.5
"1997-02-19",1576
"1997-02-20",1581
"1997-02-21",1584.5
"1997-02-24",1621
"1997-02-25",1629
"1997-02-26",1617
"1997-02-27",1623
"1997-02-28",1624.5
"1997-03-03",1645.5
"1997-03-04",1667
"1997-03-05",1654
"1997-03-06",1639
"1997-03-07",1661
"1997-03-10",1631
"1997-03-11",1635
"1997-03-12",1645.5
"1997-03-13",1635
"1997-03-14",1624.5
"1997-03-17",1640
"1997-03-18",1610
"1997-03-19",1609
"1997-03-20",1626
"1997-03-21",1626.5
"1997-03-24",1631.5
"1997-03-25",1612
"1997-03-26",1608
"1997-03-27",1606.5
"1997-04-01",1602.5
"1997-04-02",1602
"1997-04-03",1603
"1997-04-04",1583.5
"1997-04-07",1549.5
"1997-04-08",1547
"1997-04-09",1551
"1997-04-10",1552.5
"1997-04-11",1548.5
"1997-04-14",1545.5
"1997-04-15",1520.5
"1997-04-16",1524
"1997-04-17",1519
"1997-04-18",1525
"1997-04-21",1517.5
"1997-04-22",1546.5
"1997-04-23",1572.5
"1997-04-24",1575
"1997-04-25",1568.5
"1997-04-28",1606.5
"1997-04-29",1611
"1997-04-30",1610.5
"1997-05-01",1599
"1997-05-02",1588
"1997-05-06",1600.5
"1997-05-07",1607
"1997-05-08",1643
"1997-05-09",1649
"1997-05-12",1642.5
"1997-05-13",1634
"1997-05-14",1624.5
"1997-05-15",1640
"1997-05-16",1656
"1997-05-19",1644
"1997-05-20",1621
"1997-05-21",1655
