Index,SPX
2015-11-19,2083.58
2015-11-20,2081.24
2015-11-23,2089.17
2015-11-24,2086.59
2015-11-25,2089.14
2015-11-27,2088.87
2015-11-30,2090.11
2015-12-01,2080.41
2015-12-02,2102.63
2015-12-03,2079.51
2015-12-04,2049.62
2015-12-07,2091.69
2015-12-08,2077.07
2015-12-09,2063.59
2015-12-10,2047.62
2015-12-11,2052.23
2015-12-14,2012.37
2015-12-15,2021.94
2015-12-16,2043.41
2015-12-17,2073.07
2015-12-18,2041.89
2015-12-21,2005.55
2015-12-22,2021.15
2015-12-23,2038.97
2015-12-24,2064.29
2015-12-28,2060.99
2015-12-29,2056.5
2015-12-30,2078.36
2015-12-31,2063.36
2016-01-04,2043.94
2016-01-05,2012.66
2016-01-06,2016.71
2016-01-07,1990.26
2016-01-08,1943.09
2016-01-11,1922.03
2016-01-12,1923.67
2016-01-13,1938.68
2016-01-14,1890.28
2016-01-15,1921.84
2016-01-19,1880.33
2016-01-20,1881.33
2016-01-21,1859.33
2016-01-22,1868.99
2016-01-25,1906.9
2016-01-26,1877.08
2016-01-27,1903.63
2016-01-28,1882.95
2016-01-29,1893.36
2016-02-01,1940.24
2016-02-02,1939.38
2016-02-03,1903.03
2016-02-04,1912.53
2016-02-05,1915.45
2016-02-08,1880.05
2016-02-09,1853.44
2016-02-10,1852.21
2016-02-11,1851.86
2016-02-12,1829.08
2016-02-16,1864.78
2016-02-17,1895.58
2016-02-18,1926.82
2016-02-19,1917.83
2016-02-22,1917.78
2016-02-23,1945.5
2016-02-24,1921.27
2016-02-25,1929.8
2016-02-26,1951.7
2016-02-29,1948.05
2016-03-01,1932.23
2016-03-02,1978.35
2016-03-03,1986.45
2016-03-04,1993.4
2016-03-07,1999.99
2016-03-08,2001.76
2016-03-09,1979.26
2016-03-10,1989.26
2016-03-11,1989.57
2016-03-14,2022.19
2016-03-15,2019.64
2016-03-16,2015.93
2016-03-17,2027.22
2016-03-18,2040.59
2016-03-21,2049.58
2016-03-22,2051.6
2016-03-23,2049.8
2016-03-24,2036.71
2016-03-28,2035.94
2016-03-29,2037.05
2016-03-30,2055.01
2016-03-31,2063.95
2016-04-01,2059.74
2016-04-04,2072.78
2016-04-05,2066.13
2016-04-06,2045.17
2016-04-07,2066.66
2016-04-08,2041.91
2016-04-11,2047.6
2016-04-12,2041.99
2016-04-13,2061.72
2016-04-14,2082.42
2016-04-15,2082.78
2016-04-18,2080.73
2016-04-19,2094.34
2016-04-20,2100.8
2016-04-21,2102.4
2016-04-22,2091.48
2016-04-25,2091.58
2016-04-26,2087.79
2016-04-27,2091.7
2016-04-28,2095.15
2016-04-29,2075.81
2016-05-02,2065.3
2016-05-03,2081.43
2016-05-04,2063.37
2016-05-05,2051.12
2016-05-06,2050.63
2016-05-09,2057.14
2016-05-10,2058.69
2016-05-11,2084.39
2016-05-12,2064.46
2016-05-13,2064.11
2016-05-16,2046.61
2016-05-17,2066.66
2016-05-18,2047.21
2016-05-19,2047.63
2016-05-20,2040.04
2016-05-23,2052.32
2016-05-24,2048.04
2016-05-25,2076.06
2016-05-26,2090.54
2016-05-27,2090.1
2016-05-31,2099.06
2016-06-01,2096.96
2016-06-02,2099.33
2016-06-03,2105.26
2016-06-06,2099.13
2016-06-07,2109.41
2016-06-08,2112.13
2016-06-09,2119.12
2016-06-10,2115.48
2016-06-13,2096.07
2016-06-14,2079.06
2016-06-15,2075.32
2016-06-16,2071.5
2016-06-17,2077.99
2016-06-20,2071.22
2016-06-21,2083.25
2016-06-22,2088.9
2016-06-23,2085.45
2016-06-24,2113.32
2016-06-27,2037.41
2016-06-28,2000.54
2016-06-29,2036.09
2016-06-30,2070.77
2016-07-01,2098.86
2016-07-05,2102.95
2016-07-06,2088.55
2016-07-07,2099.73
2016-07-08,2097.9
2016-07-11,2129.9
