Index,SX5E
2013-03-12,2718.71
2013-03-13,2711.85
2013-03-14,2704.73
2013-03-15,2744.7
2013-03-18,2725.72
2013-03-19,2705.47
2013-03-20,2671.96
2013-03-21,2708.9
2013-03-22,2683.92
2013-03-25,2681.67
2013-03-26,2649.28
2013-03-27,2641.12
2013-03-28,2612.46
2013-04-02,2624.02
2013-04-03,2679.8
2013-04-04,2639.01
2013-04-05,2621.43
2013-04-08,2585.28
2013-04-09,2589.25
2013-04-10,2595.13
2013-04-11,2661.62
2013-04-12,2674.33
2013-04-15,2633.47
2013-04-16,2624.71
2013-04-17,2609.3
2013-04-18,2553.49
2013-04-19,2555.5
2013-04-22,2575.16
2013-04-23,2583.62
2013-04-24,2662.88
2013-04-25,2702.05
2013-04-26,2704.41
2013-04-29,2683.43
2013-04-30,2717.38
2013-05-01,2712.0
2013-05-02,2711.74
2013-05-03,2718.9
2013-05-06,2763.68
2013-05-07,2750.52
2013-05-08,2769.08
2013-05-09,2784.62
2013-05-10,2773.16
2013-05-13,2785.24
2013-05-14,2777.39
2013-05-15,2795.63
2013-05-16,2809.58
2013-05-17,2806.7
2013-05-20,2817.99
2013-05-21,2824.5
2013-05-22,2821.65
2013-05-23,2835.01
2013-05-24,2776.78
2013-05-27,2764.29
2013-05-28,2795.0
2013-05-29,2835.87
2013-05-30,2786.54
2013-05-31,2799.2
2013-06-03,2769.64
2013-06-04,2747.74
2013-06-05,2755.7
2013-06-06,2709.33
2013-06-07,2676.21
2013-06-10,2724.08
2013-06-11,2719.4
2013-06-12,2683.2
2013-06-13,2666.52
2013-06-14,2661.71
2013-06-17,2667.32
2013-06-18,2702.69
2013-06-19,2700.93
2013-06-20,2683.98
2013-06-21,2586.45
2013-06-24,2549.48
2013-06-25,2511.83
2013-06-26,2543.37
2013-06-27,2602.81
2013-06-28,2619.86
2013-07-01,2602.59
2013-07-02,2622.62
2013-07-03,2603.2
2013-07-04,2570.76
2013-07-05,2646.54
2013-07-08,2596.01
2013-07-09,2650.85
2013-07-10,2664.14
2013-07-11,2659.71
2013-07-12,2681.32
2013-07-15,2674.87
2013-07-16,2686.69
2013-07-17,2665.61
2013-07-18,2681.88
2013-07-19,2717.99
2013-07-22,2716.17
2013-07-23,2725.4
2013-07-24,2722.9
2013-07-25,2752.25
2013-07-26,2740.29
2013-07-29,2741.96
2013-07-30,2741.73
2013-07-31,2759.21
2013-08-01,2768.15
2013-08-02,2808.64
2013-08-05,2811.0
2013-08-06,2809.08
2013-08-07,2790.78
2013-08-08,2794.44
2013-08-09,2816.88
2013-08-12,2825.62
2013-08-13,2827.15
2013-08-14,2841.61
2013-08-15,2852.08
2013-08-16,2835.86
2013-08-19,2854.27
2013-08-20,2823.35
2013-08-21,2787.98
2013-08-22,2774.58
2013-08-23,2812.32
2013-08-26,2826.05
2013-08-27,2821.45
2013-08-28,2749.27
2013-08-29,2742.61
2013-08-30,2758.31
2013-09-02,2721.37
2013-09-03,2774.09
2013-09-04,2753.35
2013-09-05,2758.29
2013-09-06,2774.2
2013-09-09,2803.42
2013-09-10,2798.31
2013-09-11,2851.4
2013-09-12,2863.44
2013-09-13,2862.07
2013-09-16,2867.11
2013-09-17,2894.64
2013-09-18,2890.95
2013-09-19,2908.92
2013-09-20,2936.2
2013-09-23,2927.19
2013-09-24,2906.35
2013-09-25,2922.93
2013-09-26,2927.35
2013-09-27,2922.99
2013-09-30,2919.34
2013-10-01,2893.15
2013-10-02,2933.02
2013-10-03,2918.31
2013-10-04,2902.12
2013-10-07,2928.31
2013-10-08,2923.04
2013-10-09,2903.35
2013-10-10,2904.73
2013-10-11,2969.41
2013-10-14,2974.28
2013-10-15,2977.69
2013-10-16,3004.56
2013-10-17,3015.4
2013-10-18,3010.39
2013-10-21,3033.31
2013-10-22,3028.65
2013-10-23,3045.77
2013-10-24,3017.16
2013-10-25,3038.96
2013-10-28,3034.5
2013-10-29,3022.04
2013-10-30,3050.64
2013-10-31,3040.69
2013-11-01,3067.95
2013-11-04,3052.14
2013-11-05,3061.18
2013-11-06,3035.92
2013-11-07,3056.4
2013-11-08,3042.98
2013-11-11,3034.91
2013-11-12,3052.83
2013-11-13,3034.68
2013-11-14,3021.17
2013-11-15,3053.69
2013-11-18,3054.53
2013-11-19,3081.3
2013-11-20,3049.17
2013-11-21,3047.32
2013-11-22,3044.34
2013-11-25,3055.98
2013-11-26,3072.75
2013-11-27,3062.62
2013-11-28,3082.65
2013-11-29,3092.42
2013-12-02,3086.64
2013-12-03,3077.23
2013-12-04,3013.88
2013-12-05,2991.76
2013-12-06,2953.17
2013-12-09,2979.94
2013-12-10,2988.67
2013-12-11,2960.86
2013-12-12,2947.31
2013-12-13,2928.12
2013-12-16,2921.92
2013-12-17,2978.77
2013-12-18,2941.76
2013-12-19,2975.09
2013-12-20,3031.05
2013-12-23,3049.35
2013-12-24,3070.91
2013-12-27,3072.88
2013-12-30,3111.37
2013-12-31,3100.93
2014-01-02,3109.0
2014-01-03,3059.93
2014-01-06,3074.43
2014-01-07,3069.16
2014-01-08,3110.96
2014-01-09,3110.66
2014-01-10,3090.26
2014-01-13,3104.15
2014-01-14,3111.94
2014-01-15,3119.53
2014-01-16,3168.76
2014-01-17,3150.2
2014-01-20,3154.1
2014-01-21,3153.17
2014-01-22,3153.08
2014-01-23,3151.27
2014-01-24,3117.08
2014-01-27,3028.2
2014-01-28,3014.62
2014-01-29,3038.6
2014-01-30,3011.45
2014-01-31,3027.3
2014-02-03,3013.96
2014-02-04,2963.96
2014-02-05,2962.49
2014-02-06,2962.51
2014-02-07,3010.79
2014-02-10,3038.49
2014-02-11,3032.53
2014-02-12,3077.08
2014-02-13,3094.89
2014-02-14,3097.95
2014-02-17,3119.06
2014-02-18,3118.91
2014-02-19,3117.44
2014-02-20,3120.8
2014-02-21,3121.59
2014-02-24,3131.67
2014-02-25,3157.31
2014-02-26,3157.48
2014-02-27,3148.19
2014-02-28,3134.94
2014-03-03,3149.23
2014-03-04,3053.99
2014-03-05,3136.33
2014-03-06,3135.97
2014-03-07,3144.53
2014-03-10,3095.31
2014-03-11,3092.79
2014-03-12,3092.55
2014-03-13,3065.46
2014-03-14,3019.54
2014-03-17,3004.64
2014-03-18,3049.19
2014-03-19,3073.75
2014-03-20,3076.36
2014-03-21,3088.9
2014-03-24,3096.49
2014-03-25,3052.91
2014-03-26,3096.64
2014-03-27,3130.17
2014-03-28,3133.75
2014-03-31,3172.43
2014-04-01,3161.6
2014-04-02,3186.34
2014-04-03,3187.45
2014-04-04,3206.76
2014-04-07,3230.33
2014-04-08,3185.97
2014-04-09,3177.66
2014-04-10,3182.79
2014-04-11,3152.86
2014-04-14,3116.54
2014-04-15,3131.57
2014-04-16,3091.52
2014-04-17,3139.26
2014-04-22,3155.81
2014-04-23,3199.69
2014-04-24,3175.97
2014-04-25,3189.81
2014-04-28,3147.4
2014-04-29,3165.84
2014-04-30,3208.68
2014-05-01,3198.39
2014-05-02,3198.66
2014-05-05,3177.89
2014-05-06,3171.29
2014-05-07,3149.79
2014-05-08,3159.67
2014-05-09,3204.3
2014-05-12,3184.09
2014-05-13,3206.97
2014-05-14,3211.78
2014-05-15,3210.42
2014-05-16,3163.22
2014-05-19,3172.72
2014-05-20,3169.9
2014-05-21,3163.93
2014-05-22,3187.08
2014-05-23,3187.63
2014-05-26,3203.28
2014-05-27,3240.39
2014-05-28,3244.28
2014-05-29,3246.24
2014-05-30,3244.66
2014-06-02,3244.6
2014-06-03,3247.8
2014-06-04,3241.04
2014-06-05,3237.93
2014-06-06,3267.05
2014-06-09,3294.28
2014-06-10,3305.26
2014-06-11,3313.8
2014-06-12,3289.09
2014-06-13,3284.28
2014-06-16,3282.84
2014-06-17,3261.42
2014-06-18,3275.33
2014-06-19,3279.2
2014-06-20,3314.8
2014-06-23,3302.36
2014-06-24,3282.58
2014-06-25,3284.81
2014-06-26,3252.31
2014-06-27,3233.19
2014-06-30,3227.85
2014-07-01,3228.24
2014-07-02,3258.71
2014-07-03,3252.25
2014-07-04,3289.75
2014-07-07,3270.47
2014-07-08,3230.92
2014-07-09,3184.38
2014-07-10,3203.1
2014-07-11,3150.59
2014-07-14,3157.05
