Index,UKX
2012-06-07,5384.11
2012-06-08,5447.79
2012-06-11,5435.08
2012-06-12,5432.37
2012-06-13,5473.74
2012-06-14,5483.81
2012-06-15,5467.05
2012-06-18,5478.81
2012-06-19,5491.09
2012-06-20,5586.31
2012-06-21,5622.29
2012-06-22,5566.36
2012-06-25,5513.69
2012-06-26,5450.65
2012-06-27,5446.96
2012-06-28,5523.92
2012-06-29,5493.06
2012-07-02,5571.15
2012-07-03,5640.64
2012-07-04,5687.73
2012-07-05,5684.47
2012-07-06,5692.63
2012-07-09,5662.63
2012-07-10,5627.33
2012-07-11,5664.07
2012-07-12,5664.48
2012-07-13,5608.25
2012-07-16,5666.13
2012-07-17,5662.43
2012-07-18,5629.09
2012-07-19,5685.77
2012-07-20,5714.19
2012-07-23,5651.77
2012-07-24,5533.87
2012-07-25,5499.23
2012-07-26,5498.32
2012-07-27,5573.16
2012-07-30,5627.21
2012-07-31,5693.63
2012-08-01,5635.28
2012-08-02,5712.82
2012-08-03,5662.3
2012-08-06,5787.28
2012-08-07,5808.77
2012-08-08,5841.24
2012-08-09,5845.92
2012-08-10,5851.51
2012-08-13,5847.11
2012-08-14,5831.88
2012-08-15,5864.78
2012-08-16,5833.04
2012-08-17,5834.51
2012-08-20,5852.42
2012-08-21,5824.37
2012-08-22,5857.52
2012-08-23,5774.2
2012-08-24,5776.6
2012-08-27,5776.6
2012-08-28,
2012-08-29,5775.71
2012-08-30,5743.53
2012-08-31,5719.45
2012-09-03,5711.48
2012-09-04,5758.41
2012-09-05,5672.01
2012-09-06,5657.86
2012-09-07,5777.34
2012-09-10,5794.8
2012-09-11,5793.2
2012-09-12,5792.19
2012-09-13,5782.08
2012-09-14,5819.92
2012-09-17,5915.55
2012-09-18,5893.52
2012-09-19,5868.16
2012-09-20,5888.48
2012-09-21,5854.64
2012-09-24,5852.62
2012-09-25,5838.84
2012-09-26,5859.71
2012-09-27,5768.09
2012-09-28,5779.42
2012-10-01,5742.07
2012-10-02,5820.45
2012-10-03,5809.45
2012-10-04,5825.81
2012-10-05,5827.78
2012-10-08,5871.02
2012-10-09,5841.74
2012-10-10,5810.25
2012-10-11,5776.71
2012-10-12,5829.75
2012-10-15,5793.32
2012-10-16,5805.61
2012-10-17,5870.54
2012-10-18,5910.91
2012-10-19,5917.05
2012-10-22,5896.15
2012-10-23,5882.91
2012-10-24,5797.91
2012-10-25,5804.78
2012-10-26,5805.05
2012-10-29,5806.71
2012-10-30,5795.1
2012-10-31,5849.9
2012-11-01,5782.7
2012-11-02,5861.92
2012-11-05,5868.55
2012-11-06,5839.06
2012-11-07,5884.9
2012-11-08,5791.63
2012-11-09,5776.05
2012-11-12,5769.68
2012-11-13,5767.27
2012-11-14,5786.25
2012-11-15,5722.01
2012-11-16,5677.75
2012-11-19,5605.59
2012-11-20,5737.66
2012-11-21,5748.1
2012-11-22,5752.03
2012-11-23,5791.03
2012-11-26,5819.14
2012-11-27,5786.72
2012-11-28,5799.71
2012-11-29,5803.28
2012-11-30,5870.3
2012-12-03,5866.82
2012-12-04,5871.24
2012-12-05,5869.04
2012-12-06,5892.08
2012-12-07,5901.42
2012-12-10,5914.4
2012-12-11,5921.63
2012-12-12,5924.97
2012-12-13,5945.85
2012-12-14,5929.61
2012-12-17,5921.76
2012-12-18,5912.15
2012-12-19,5935.9
2012-12-20,5961.59
2012-12-21,5958.34
2012-12-24,5939.99
2012-12-27,5954.18
2012-12-28,5954.3
2012-12-31,5925.37
2013-01-02,5897.81
2013-01-03,6027.37
2013-01-04,6047.34
2013-01-07,6089.84
2013-01-08,6064.58
2013-01-09,6053.63
2013-01-10,6098.65
2013-01-11,6101.51
2013-01-14,6121.58
2013-01-15,6107.86
2013-01-16,6117.31
2013-01-17,6103.98
2013-01-18,6132.36
2013-01-21,6154.41
2013-01-22,6180.98
2013-01-23,6179.17
2013-01-24,6197.64
2013-01-25,6264.91
2013-01-28,6284.45
2013-01-29,6294.41
2013-01-30,6339.19
2013-01-31,6323.11
2013-02-01,6276.88
2013-02-04,6347.24
2013-02-05,6246.84
2013-02-06,6282.76
2013-02-07,6295.34
